Position,"Track Name",Artist,Streams,URL
136,"Congratulations - Remix","Post Malone",183009,https://open.spotify.com/track/2YK01AIIWuywG24gsbuizE
137,PIE,Future,178819,https://open.spotify.com/track/0NZUqq4iLQddokgtiC44Kb
138,"Flex Like Ouu","Lil Pump",177406,https://open.spotify.com/track/3kkObn08oHrNmCFHSNR0jD
139,"From The D To The A (feat. Lil Yachty)","Tee Grizzley",176964,https://open.spotify.com/track/2NyrXRn4tancYPW6JwtTl2
140,"Escápate Conmigo",Wisin,175119,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
141,"Patty Cake","Kodak Black",173338,https://open.spotify.com/track/0bXFIF7iL17TYLyx8JHziM
142,"Symphony (feat. Zara Larsson)","Clean Bandit",172506,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
143,Everybody,Logic,172391,https://open.spotify.com/track/7cGFbx7MP0H23iHZTZpqMM
144,"Chill Bill","Rob $tone",172130,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
145,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)","Mike WiLL Made-It",171417,https://open.spotify.com/track/3A2OHirUAlQp2x73BJlEDA
146,Myself,NAV,170685,https://open.spotify.com/track/05nbZ1xxVNwUTcGwLbp7CN
147,Starving,"Hailee Steinfeld",170563,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
148,"Can I Be Him","James Arthur",170490,https://open.spotify.com/track/0VhgEqMTNZwYL1ARDLLNCX
149,"What Ifs","Kane Brown",169744,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W
150,Reminder,"The Weeknd",169454,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
151,Weak,AJR,169257,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
152,"Feel It Still","Portugal. The Man",168233,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
153,"Skateboard P (feat. Big Sean)",MadeinTYO,168166,https://open.spotify.com/track/07pJdL0L9XDGW0HBj0rIS2
154,Don't,"Bryson Tiller",167356,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
155,"Get Right Witcha",Migos,165931,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj
156,Up,NAV,165930,https://open.spotify.com/track/5qbcsZMwL0x46sX7VO37Ye
157,"Galway Girl","Ed Sheeran",165580,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
158,H.O.L.Y.,"Florida Georgia Line",165007,https://open.spotify.com/track/0BCy325UZyR9z0t0uxwn2N
159,"XXX. FEAT. U2.","Kendrick Lamar",164679,https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
160,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",164392,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
161,"No Heart","21 Savage",164094,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
162,"The Cure","Lady Gaga",163779,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
163,"Reminding Me","Shawn Hook",163521,https://open.spotify.com/track/4gqMQftUs22F8pOGVn5Acr
164,Exchange,"Bryson Tiller",162511,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
165,Selfish,"PnB Rock",162509,https://open.spotify.com/track/2xbI8Vmyv3TkpTdywpPyNw
166,"Run Me Dry","Bryson Tiller",161981,https://open.spotify.com/track/5GG3knKdxKWrNboRijxeKF
167,"Love On The Brain",Rihanna,161806,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
168,Ride,"Twenty One Pilots",161505,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
169,"My Shit","A Boogie Wit da Hoodie",159512,https://open.spotify.com/track/5uQOauh47VFt3B2kV9kRXw
170,Audi.,Smokepurpp,159358,https://open.spotify.com/track/56kXYt4KRoUq3rzkPdjquB
171,"How Far I'll Go - From ""Moana""","Alessia Cara",158495,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
172,"The Night We Met","Lord Huron",158361,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
173,"Two High","Moon Taxi",157578,https://open.spotify.com/track/3sJHkcxojoJD2Ytbo1yLLF
174,"No Flockin","Kodak Black",157336,https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4
175,"Green Light",Lorde,156038,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
176,Saved,Khalid,155250,https://open.spotify.com/track/248OFOZef6ShXv6DGgbnxU
177,"The Way I Are (Dance With Somebody) [feat. Lil Wayne]","Bebe Rexha",155126,https://open.spotify.com/track/6Pw3Gvw4wNMZfTYZa6IQal
178,"Trap Paris (feat. Quavo & Ty Dolla $ign)","Machine Gun Kelly",154227,https://open.spotify.com/track/5hfpu8saHLGedbHRtNCYjm
179,Heathens,"Twenty One Pilots",154219,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
180,"Die A Happy Man","Thomas Rhett",153864,https://open.spotify.com/track/5kNe7PE09d6Kvw5pAsx23n
181,"May We All","Florida Georgia Line",153685,https://open.spotify.com/track/498ZVInMGDkmmNVpSWqHiZ
182,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",152713,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
183,"Uh Huh","Julia Michaels",152322,https://open.spotify.com/track/1eVRnmGhDPATPxz6kqWuCP
184,"Some Way",NAV,152260,https://open.spotify.com/track/7zxRMhXxJMQCeDDg0rKAVo
185,Holiday,"Calvin Harris",152125,https://open.spotify.com/track/08Wc3X7XNSyF8WYBPt2L8E
186,"Hometown Girl","Josh Turner",152112,https://open.spotify.com/track/5C6uh95eAL0RBTSGXKQwvk
187,"High Without Your Love",Loote,151935,https://open.spotify.com/track/7qs2GAglLWfxEfmO8u2u0A
188,"The Fighter","Keith Urban",151664,https://open.spotify.com/track/7EAFj7eJcMF5koWSRJVZcL
189,"How Far I'll Go","Auli'i Cravalho",151573,https://open.spotify.com/track/6mb6lVLNrcUgLnEN8QnDJd
190,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",151499,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
191,"Skrt On Me","Calvin Harris",150853,https://open.spotify.com/track/7iDxZ5Cd0Yg08d4fI5WVtG
192,Panda,Desiigner,150343,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
193,"Do What I Want","Lil Uzi Vert",150028,https://open.spotify.com/track/4IWGnyOHDrVZEtPWfs4s7q
194,"Gassed Up","Nebu Kiniza",149698,https://open.spotify.com/track/6JjEVlMkfHWMeYavkEYzNO
195,Controlla,Drake,149438,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
196,"Ex Calling",6LACK,149144,https://open.spotify.com/track/2RwmsAOxtiRezQPmvyejb8
197,"Teenage Fever",Drake,148270,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
198,"Erase Your Social","Lil Uzi Vert",147568,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN
199,"Too Many Years","Kodak Black",147318,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz
200,Antidote,"Travis Scott",146821,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
